animal_id,group_id,phase,overall_det,first_half_det,second_half_det
F1a.06,young,test,0.4771908763505402,0.3235294117647059,0.4666666666666667
F1a.07,young,test,0.5405034324942791,0.3804347826086957,0.4906609195402299
F1a.08,young,test,0.751099384344767,0.8303030303030303,0.6976923076923077
F1a.09,young,test,0.5557547508067407,0.6033898305084746,0.5518001469507715
F1a.10,young,test,0.4536082474226804,0.46524064171123,0.3841059602649007
F1a.11,young,test,0.5514253773057574,0.4365781710914454,0.47881828316610925
F1a.12,young,test,0.7020306672192291,0.6666666666666666,0.6338751069289992
F1a.14,young,test,0.6593151479976784,0.9319727891156463,0.521889400921659
F1a.16,young,test,0.44225941422594145,0.6370967741935484,0.43418467583497056
F1a.18,young,test,0.7736516357206012,0.7466666666666667,0.6324535679374389
F5a.01,young,test,0.5016802688430149,0.34108527131782945,0.45711759504862953
F5a.02,young,test,0.5760086455331412,0.3524904214559387,0.603021978021978
F5a.03,young,test,0.4570578231292517,0.3768844221105528,0.4039282664389411
F5a.04,young,test,0.6401006711409396,0.9192546583850931,0.684044233807267
F5a.05,young,test,0.5438663121914167,0.4634146341463415,0.5052410901467506
F5a.06,young,test,0.5583547557840617,0.3135593220338983,0.5526992287917738
F5a.07,young,test,0.4845953002610966,0.4084507042253521,0.49557522123893805
F5a.08,young,test,0.6839907192575406,0.3425925925925926,0.6194486983154671
F5a.09,young,test,0.49651741293532337,0.48717948717948717,0.4569805194805195
F5a.10,young,test,0.5882107023411371,0.42592592592592593,0.5701513067400276
F5a.11,young,test,0.4836795252225519,0.2869198312236287,0.35787321063394684
F8a.01,young,test,0.45142487046632124,0.26666666666666666,0.458955223880597
F8a.02,young,test,0.49020807833537333,0.27906976744186046,0.4532130777903044
F8a.03,young,test,0.5160719551754644,0.31,0.5315581854043393
F8a.04,young,test,0.6515495086923658,0.2909090909090909,0.5991561181434599
F8a.05,young,test,0.5203057811753464,0.4012345679012346,0.48342541436464087
F8a.06,young,test,0.5189764232317424,0.44814814814814813,0.47840172786177104
F8a.08,young,test,0.45629572583750483,0.528169014084507,0.4421052631578947
F8a.10,young,test,0.6696562032884903,0.7391304347826086,0.676560900716479
F8a.12,young,test,0.645320197044335,0.6830188679245283,0.5596330275229358
F8a.14,young,test,0.7116883116883117,0.803030303030303,0.65997993981945835
F8a.16,young,test,0.4432642487046632,0.4859154929577465,0.40547736782046406
F8a.18,young,test,0.5305980528511822,0.36097560975609755,0.5797619047619048
F8a.20,young,test,0.4653760238272524,0.3333333333333333,0.44881889763779526
